Tweet_Text,Actual_Urgency,Predicted_Urgency
rt rescue teams in mexico lead last ongoing search operation to find 20 bodies in aftermath of devastating earthquake,High,Low
hurricane maria has left an estimated 34 million people without power in puerto rico help us map the impact,Low,Medium
how to respond to a flooded basement hurricane hurricanerecovery irma hurricaneirma cleanup water flood,Medium,Low
so idk if my achy joints are delayed from the rain we had yesterday or if theres going to be a storm tomorrow but my joints need help,Low,High
tebow shares a moment with a wwii veteran in a hurricane irma shelter via,High,Low
rt to get the latest information on the fort mcmurray wildfire situation and emergency response follow ym,Low,Medium
cycloneidai has left entire cities in isolated by water is on the ground to address immediate needs but these maps from the show the magnitude of the crisis which will have longterm impacts on health economy amp agriculture,Low,Medium
while the fakepotus remains silent on puerto rico and its american citizens in dire need of help,Low,High
a houston resident offers some ways you can help those in need due to hurricane harvey,Medium,Low
trump surveys harvey damage heads to austin via,Low,Medium
thunderstorms have dropped heavy rain along i80 between truckee and farad watch for water on roadways and runoff,Medium,Low
thanks much appreciated my family is well however some of our guiding friends further south have property damage eqnz,Low,Medium
more cholera cases can be expected in mozambique outbreaks of this deadly diarrhoeal disease are likely after floods and other disasters like cycloneidai when there is a lack of safe drinking water and sanitation it is treatable but people need to be treated quickly,High,Low
numerous areas in fort mcmurray region experiencing heavy smoke affecting visibility ymmfire yyc,Low,Medium
where was florida when trump visited to see hurricaneirma damage handing out meals in n fla,Medium,Low
across florida schools transform into shelters to save those in hurricane irmas crosshairs via,High,Low
rt sadc releases financial help 500000 to mozambique zimbabwe and malawi to help the victims of cyclone idai,Low,High
please retweet this to help puerto rico from the hurricane that recently hit it named maria thank you,High,Low
while she stands in front of pallets of suppliesnice try,Low,Medium
racism has killed more people than irma has since you feel like it has to be a contest,Low,High
its horrendous i have friends and family there no electric no clean drinking water no flight out until next week,High,Low
app released for fortmcmurray evacuees to survey wildfire damage edmonton cbc news ymm,Low,Medium
wsbtv reports rt ga_corrections colwell pdc detainees assisted with clean up following tropical storm irmas impa,Low,Medium
loads of power poles heading south on i75 these guys mean business ty for getting folks back in their homes irma,Low,Medium
rescuers are searching for a 39yearold national guard member monday who was reported missing a day after he was swept away by fastmoving floodwaters in marylands ellicott city while attempting to rescue people during devastating floods family and of,Low,High
no water no food no hope thats what our fellow puerto rican citizens are facing please help by going to,High,Low
faces and stories from cycloneidai survivors aruminda luis doesnt want to let go of her baby brother antonio at a camp set up for displaced people in dondo mozambique unite4mozambique,Low,High
breaking crane that collapsed during hurricaneirma has caused surrounding buildings to be evacuated,High,Medium
rt a fact you should know mexico huge earthquake topples buildings killing more than 200 bbc news,High,Medium
find out how you can help the thousands of people who have been affected by hurricane harvey go to cbs cares,High,Low
weve deployed an expert team to respond to the health needs which have emerged due to the flooding from harvey,High,Low
what are you doing to help our citizens after these devastating storms please send amp resources to help,Low,High
hurricane irma shook up a lot of lives including our animal friends at care they nee our help please visit their fb page to help,High,Low
texas flood now officially the size of lake michigan 15 trillion gallons of water harvey trumpsarmy2 maga,Low,Medium
harvey stalls houston commerce could cost 50 billion in damage and economic activity,Low,Medium
islands can disappear if the water cant run off quickly enough even islands can flood,Medium,Low
us virgin islands and puerto rico facing incredible challenges and in desperate need of help following hurricanes irma and maria 2150bf,Low,High
watch basic resources like food water fuel amp medicine are still hard to find in puerto rico 8 days after hurricane maria,Low,High
absolutely heartbreaking please do what you can to help find an organization you trust and give what you can,High,Low
an expected yet still breathtaking look at the flooding caused by hurricaneharvey in texas houstonflood,Medium,Low
houston largest us city wo zoning laws gt destroyed wetlands gt massive flooding hurricaneharvey via,Low,Medium
sens nelsonrubio write to trimp asking for additional federal resources to assist wrecovery efforts after hurricane maria for puerto rico,High,Low
when theres an actual earthquake landslide and severe flooding during your driving test and you still pass eqnz wellington,Low,Medium
we have issued a precautionary swim advisory at collier county beaches due to potential effects on water quality related to hurricaneirma,Low,Medium
recommendations ivprovide emergency access to healthcare for all those who are injured in accordance with the constitutionally guaranteed right to access healthcare cycloneidai,Medium,High
read more about the heavy rain that brought significant flooding to central maryland here,Low,Medium
app released for fort mcmurray evacueesuses satellite images provided by government of canada from pléaides1a,High,Low
no tsunami threat to new zealand following huge japan earthquake,Low,Medium
so before irma kills us all just wanted to say yes i am bi,Low,High
has now left gibraltar with emergency supplies bound for the caribbean irma ukaid,Low,Medium
two large aftershocks have just hit seddon and cheviot eqnz,Medium,Low
manatee schools used as irma shelters undergo thorough cleaning,High,Low
if irma stays on its current forecast track strong winds heavy rain amp an isolated tornado threat are the expected impacts to our area,Low,Medium
irma leaves widespread devastation flooding in florida live updates cbs news,Low,Medium
we will be collecting canned food items tonight the bay high game for victims of hurricane harvey,High,Low
hey dumbass these people literally have no homeswhere else they gonna be trumpintx hurricaneharvey,High,Low
7nearly a week after hurricane maria hit puerto rico some areas including cataño are still flooded,Low,Medium
hurricane maria 2017 ocean city maryland tropical storm via,Low,Medium
we do not have anywhere to stay i live with my 4 sisters amp i am the 5th child we are 6 of us including mother i wish we find somewhere safe to sleep as a young woman i do feel safe to live here because there are many people here felistas says cycloneidai survivor,High,Low
new 61 earthquake strikes already jittery mexico vía,Low,Medium
gofundme all this is going to my neighborhood that was hit and destroyed by hurricane harvey and irma,Low,Medium
at least 500000 people are waiting for food and water in mozambique after cyclone idai hit southern africa and almost wiped out the city of beira,High,Low
cristiano ronaldo pays tribute to young boy killed in mexico earthquake tragedy breakingnews news,Low,High
cycloneidai charlesluwangahighschool we have lost 2 pupils as the landslide destroyed the dining hall and subsequently the rocks partially opened the form 1 dormitory wall debris found its way to kids who were asleep it happened in secondsthere was little reaction time,High,Medium
rt omg 233 peopleve died today in ecuador cuz an earthquake all our prayers go out to them buyletmeloveyouonitunes ht,Low,High
prosperity gospel preacher joel osteen to open megachurch to hurricane harvey refugees after public shaming,Low,High
rt the people of puerto rico have no power or water please help my family if you can,Low,High
rt hurricanemaria turns dominica into giant debris field,Medium,Low
ibew linemen race to restore power in irmas wake,Medium,Low
this is why officials tell people in mobile homes to evacuate before strong storms jacksonville brunswick homes crushed during irma,Medium,High
rt tsunami waves are arriving along the shorelines in japan no tsunami threat to new zealand,Low,Medium
rt haiti has been destroyed twice by the clintons now the hurricane ὤfἷdὤfἷd pray for haiti,Medium,Low
rt the destruction of cyclone idai in mozambique seen from above via,Low,Medium
rt red cross says mozambiques beira port devastated by cyclone,Medium,Low
true extent of eqnz bigger than first thought quake causes floor to collapse in statistics nzs wlgtn headquarters,Medium,Low
11am hurricanemaria update plus current winds in northcarolina and bermuda,Low,Medium
galveston spared by hurricaneharvey so far scattered rain heavy surf but no serious storm surge,Medium,Low
attn new yorkers and nyc tourists heres how you can help puerto rico from here ὄ7 puertorico hurricanemaria nyc newyorkcity,Low,High
the little girl frida sofía is under stones in primary damaged by earthquake she contacted with rescue peoplegod bless her and mexico,Low,Medium
rockport texas hurricane harvey injuries reports,High,Medium
texas amp louisiana are still getting heavy rain amp flooding from harvey which is now a tropicalstorm flooding waterdamage waterproofing,Medium,Low
fivemetre high tsunami wave wrecks 100yearold historic cottage its a writeoff owner says eqnz,Medium,Low
has been supporting the government of mozambique in coordinating the deployment of 21 emergency medical teams that will treat populations affected by cycloneidai some of the teams are from other countries in africa w,High,Low
earthquake along ecuadors central coast takes 241 lives we in cuenca felt sharp tremors no damage frayed nerves,High,Medium
rt there is no change running the same policies reconstitution now greece wildfires,Low,High
sarasota manatee charlotte and desoto nonprofits please complete this survey hurricane irma relief needs survey,Low,Medium
hurricane harvey forecast to stall over se texas for dayswill result in 20 rainfallhistoric flooding txwx,Low,Medium
donations needed for haiti in wake of hurricane matthew bottled water nonperishable food items and supplies can,High,Low
floodwarning thunderstorms producing heavy rainfall could cause flash flooding strong via,Low,Medium
old dade city road in north lakeland has been reopened it had been closed due to flooding from hurricane irma,Low,Medium
red cross reporting 26 more bodies have been found at a seaside resort in mati close to athens in addition to 24 fatalities already announced hundreds rescued after jumping into sea to escape greecefires,High,Low
jose goes back out to sea as maria does her damage maria slows down to a category 1 hurricane maria goes out to sea the two intertwine,Low,Medium
we would like to join people and government of mozambique malawi and zimbabwe to appeal for direct help to the communities affected by cycloneidai several deaths have been reported with many missing homes livestock and farms have been destroyed,Low,High
deregulated amp unaccountable forprofit nursinghomes in florida face scrutiny after irma deaths,Low,High
harvey houston et pearland hs serving hot food for dinner to anyone in community til food runs out,High,Low
surveying the damage parks at boulder creek glad everyone is safe sprint4houston hurricaneharvey,Low,Medium
need for continued support for survivors of cyclone idai in mozambique governments need to improve aid and early warning systems as climate changes,Low,High
rt stay safe houston watch here for updates harvey hurricaneharvey,Medium,Low
more florida keys residents return home to survey irmas destruction,Low,Medium
kids at south dade middle school shelter play go fish with officer as hurricaneirma approaches,High,Low
complete list of shelters in orange county below if you have any doubt about safety of your home seek shelter where its safe,Low,Medium
heres the latest status report on communications services in areas affected by harvey,Low,Medium
most communities were submerged with all communication lines cut off deaths have been reported along with massive human displacement and destruction of buildings in beira via mozambique beira cycloneidai naturaldisasters,High,Medium
still irma refugees but at least well eat well wheninrome rome dwarf house,High,Medium
fpl stlucie nuclear power plant would weather a flooding storm like harvey tcweather via,Low,Medium
upcoming live hurricane irma 4 pm press brief stay tuned for live coverage from the emergency operations center,Low,Medium
puerto ricanamericans relocating from the island after hurricane maria come to durham nc there are homes and jobs 4 you hurricanemaria,High,Medium
i cant believe ur would treat a hurricaneharvey resident like this bc they have lost what about our homes,Medium,Low
irma awakened from nap by branches full of avocados landing on roof no damage back online,Low,Medium
if youre on your way to contribute to this drive please take movingstorage boxes with you if you can theyre in need of some thank you,High,Low
photos flash flooding in nc va and maryland this week via,Low,Medium
caused a 100 year flood washed out bridges amp had us stuck for over a week with no water or power and believe it when i say this was after,Low,Medium
how do we get relief supplies up to kaikorua can anyone assist please earthquake newzealand media news,High,Low
postcabinetpressbriefing minister of local government national housing and public works hon july moyo speaks on the identification of bodies by the south african sniffer dogs and other modalities to do with recovery of the bodies of the deceased in the aftermath of cycloneidai,High,Low
large blood shortage at all south florida hospitals donate today to help those in need oneblood arrowpropertyinspection hurricaneirma,High,Low
rt perspective for all my friends around the world these maps show the insane size of the fort mcmurray wildfire http,Medium,Low
breaking irma barrels toward tampa forces floridians to flee their homes hurrcaneirma tampa irma,High,Medium
for any water restoration needs from the floods contact us harvey floodrestoration waterremoval houston houstonfloods houstonstrong,Low,Medium
hurricanemaria caused total devastation in my island everything is so brown now dead people are getting sick and theres no water,Medium,High
on periscope monitoring the house remotely hurricane irma evacuation,Low,High
did you know there is mortgage assistance available for homeowners in the wake of hurricaneirma,Medium,Low
emergency donations needed this deaf individual has nothing right now hurricaneirma deafed deafaccesstojustice ddbddhh deafinprison,High,Low
i added a video to a playlist tropical storm harvey update destruction and rain isnt over yet,Low,Medium
update the dominion tour of homes is rescheduled to sunday sept 10th from 15pm due to hurricane harvey rsvp,Low,Medium
puerto rico has been absolutely destroyed by hurricane maria i just hope my friends are alright i feel really sad for this,Medium,Low
ok this is sad bigpharma get off your ass and help these people out can you call big pharma and put a bug up their butts,High,Low
its amazing that after the eqnz and flooding in wellington you still have to pay for parking in the city centre,Low,Medium
rt reminder to kiwis that tsunami can also be triggered by postquake undersea landslides keep away from the coast eqnz its not,Low,Medium
we encourage us citizens affected by hurricaneirma and hurricanejose to visit website for updates,Medium,Low
rt get breaking updates on the fort mcmurray wildfires with cbcca,Low,Medium
rt jawdropping video of the flash flooding in downtown ellicott city maryland yesterday,Low,Medium
why is there no news on damage to lower keys needtoknow arebridgesdown hurricaneirma keywest,Low,Medium
rt please all in ecuador need your help earthquakeecuador prayforecuador terremotoecuador,Low,High
beforeandafter sentinel2 satellite photos of srilanka show the massive amounts of water that fell down south during recent floodsl,Low,Medium
ive heard stand firm a million times but i really need it today as we go clean up flood damage at home harvey houstonflood,Low,Medium
irma has caused bvi infrastructure to collapse more support is needed from major aid orgs amp government,High,Low
hurricaneharvey original gallery furniture store opens as evacuee shelter your gulf coast weather authority,High,Low
these devastating images show the destruction hurricane irma left as the storm ripped through parts of the caribbean,Low,Medium
msf teams are continuing to walk amp crossing foot bridges in an outreach program to assess health needs in hard to reach areas like ngorima clinic in copper chimanimani where bridges homes shops amp police post were destroyed by cycloneidai,High,Medium
i was about to read it last week but it was too close to home with harvey and the floods in asia thank you for the reminder,Low,Medium
if you need help coping with hurricaneharvey call or text the disaster distress helpline is open 247365,Low,High
rt a long sleepless night ahead in amatrice destroyed by the italyearthquake we will stay here till the morning,Low,Medium
deputy regional director is one of the senior un officials visiting cycloneidai affected areas provided 2pumps to ensure gt30k residents of chipinge receive water supply once in 3 days efforts underway to restore water supply hygiene amp sanitation,Low,Medium
nearly half of houses checked in firestricken areas deemed uninhabitable go prayforgreece prayforathens athensfires c7,Medium,Low
rt breaking hurricane maria cuts electricity triggers flooding across puerto rico,Low,Medium
newlands primary school we are currently checkng buildings an update wil be sent out approx 8am as to whether we wil be open today eqnz,Low,Medium
no electricity water internet gas ice phone service since tuesday hurricanemaria,High,Low
rt it was a miracle says nun pulled from collapsed convent during italyearthquake,Low,Medium
dominican republic faces flooding after hurricane maria,Low,Medium
south carolina hospitals to receive patients from islands destroyed by hurricane maria,High,Medium
thanks much to graça machel for highlighting urgent needs of families affected by cycloneidai is responding in mozambique heres how you can help,Low,High
flash flooding is possible for our are through thursday due to amounts of rain in short amount of timeharvey mswx,Low,Medium
strongerthanthestorm togetherwithtexas people please help if u can,Low,High
if you need nonemergency help following the eqnz contact 0800327646 treat all power lines as live amp see,Low,High
the true scale of the greek wildfires has now been established with entire towns decimated by the inferno greece 7news,Medium,Low
rt hutt status buildings closures etc following eqnz and wild weather from early this afternoon,Low,Medium
an estimated 230000 women of child bearing age have been displaced with floodsinmalawi cycloneidai unfpa malawi is swiftly ordering dignity kits containing soap zitenje sanitary pads amp many more to address women amp girls sanitary and dignity needs in the camps,High,Low
well i have finally returned thanksirma irma killed my phone and comcast took its time fixing cableinternet in my area,Low,High
50 miles in shore and its till a hurricane the eye just collapsed on radar its still really dangerous harvey,Low,Medium
areas hit by hurricane harvey backed by almost 30 billion in cmbs trepp,Low,Medium
russia amp assist the people of mozambique deliver humanitarian aid to the cyclonestricken city of beira a total of 88 tonnes of medical supplies amp equipment incl stateoftheart medical emergency modules will help render aid to all those injured 7a2f russiahelps,Low,High
minerva risk advisors are appealing to the public to please make a donation toward the cyclone idai disaster relief efforts taking place nationwide minerva cycloneidai disasterrelief zimbabwe,High,Low
doing a site inspection in parkland all i can hear are birds and the tsunami sirens very very unsettling eqnz,Low,Medium
catastrophic flood happening around houston along with a tornado threat 1000 water rescues already in houston fox7austin atxwx txwx,Low,Medium
i wouldve collapsed kmfajjxs,Low,Medium
wrestlers suffer irma damage photos update on nxt tv tapings wwe stars game video,Low,Medium
breakingnews m34 quake rattles area about 9 miles south of joshua tree no immediate reports of damage,Low,Medium
i spoke to an elderly woman amp her granddaughter who decided to walk 10km to escape the trail of destruction left by cycloneidai for the city after their food reserves were destroyed,Low,Medium
cholera vaccinations campaign has started in areas affected by cycloneidai this picture shows on of the vaccination brigades in beira city pay attention to the detail yes the picture of the president hanging on the tree,Medium,Low
as the flood waters recede homeowners now get a look at the mess left behind in their homes in clay county live at 505 on,Low,Medium
cyclone idai has left a trail of destructionlives have been lostsome members of the zanu pf youth league are on the ground trying to assistcycloneidaiupdate cycloneidai,Medium,Low
please rt were trying to collect as much as possible to help with the efforts of hurricane maria destruction,High,Low
hurricane matthew makes landfall in haiti with winds and floods melalui,Medium,Low
last tripadvisor review h restaurant in amatrice called roma collapsed for earthquake prayforitaly terremoto,Medium,Low
flooding rains still likely through the night from tropical storm irma stay updated with the latest on the weather channel,Low,Medium
shouldnt you be focused on american citizens in who desperately need help after hurricanemaria,Low,High
paua industry welcomes threemonth harvest ban to better understand damage to fishery eqnz via,Low,Medium
nobody is asking you to give your entire paycheck or anything to those affected by harvey so dont feel pressured anything helps anything,High,Low
extraordinary photographs of destruction and resilience in houston from the great,Low,Medium
2 can you replace your personal belongings if they are damaged as the result of an earthquake masseyagency iii,Low,Medium
flhealth is urging residents in the floridakeys to not consume water under a boil water notice irma,Low,Medium
i cant believe weve had a magnitude 71 earthquake in new zealand with no reports of seriously damage,Low,Medium
mozambique the response to the disaster caused by heavy flooding and cycloneidai will be simply enormous in scale this is how our emergency medical teams are helping,Medium,Low
rt dominican republic dealing with severe flooding as hurricanemaria passes through severeweather,Low,Medium
so many people died still praying and thinking of all the victims prayforitaly,High,Low
as you all might know the city of beira mozambique is hit hard by cyclone idai it is said the city has been destroyed for 90 percent the death toll is expected to rise dramatically,Medium,High
eddisonhermond missing after catastrophic flood hits ellicottcity maryland damage believed worse than 2016 ellicottcityflood dmv,High,Medium
harvey wont last forever hangon houston katy sugarland and other areas besafe as the rain continues were here for you awesomeit,Medium,Low
rt trudeau tours fort mcmurray today to view wildfire destruction fortmacfire yymfire,Medium,Low
35 million us citizens just had hurricane maria devastate their homes and this is what the nominalpotus is doing impeachtrump,Medium,Low
rt the town of amatrice now described as apocalyptic by italian red cross italyearthquake,Medium,Low
now live hurricane harvey slams texas deadly houston flooding tropical st via,Medium,Low
cyclone idai the says may be the worst ever weather disaster to strike the southern hemisphere people have been forced into camps without proper sanitation is deeply concerned about the children,High,Low
pls support recovery efforts in the caribbean where years of climate smart ag work has been destroyed by irma,Medium,Low
i hear she is taking up a collection haiti clinton is just stirring the pot relief did arrive ports destroyed rangers flew in,Medium,Low
please install solar panels in beira mozambique like you did in puerto rico after the cyclone idai beira needs all the help it can get to recover from this disaster 90 of the city is destroyed there is no power or lights and the death toll is rising everyday,Medium,High
as mathew hits haiti 60000 people are still living in tents or makeshift homes,High,Low
quakestoday 31 magnitude earthquake 8 km from fraccionamiento del valle bajacalifornia mexico,Low,Medium
rt last container being loaded today for extracover sri lanka much needed after the recent devastating floods srilank,High,Low
reentry information booklet for ymmfire residents,Low,Medium
when in doubt dance it out texas teen busts a move while hurricane harvey rages on,Low,Medium
i am not in athens right now i dont know what i could have done differenty if i was but i feel like im being ripped apart watching the death toll rise around the city i love amp call home i cant bear it πυρκαγια athensfires,Low,High
guardsman hero who tried to save cat feared swept away in marylands floods via,Low,High
with all due respect sir wildfire on 23rd and 24th of july in greece killed over 90 people so sending a fire fighting plane on 26th seems at least hypocritical thank you so much for your help again,High,Low
pres trump plans to visit puerto rico next week to survey damage from hurricane maria which killed at least 16 amp knocked out water amp power,High,Medium
asking how to help the people of puertorico pls fund this set up by 15yearold son of my dear friend marta,Low,High
harvey texans opening homes for shelter harveyhost available in fort worth for family or single parent connect,High,Low
help puerto rico rebuild after hurricane maria people are in desperate need consider donating via,Low,High
rt if you live near plum creek you need to be aware of water levels be ready to leave if water gets high,Medium,Low
recommends using coolers to safely store food when youre without power hurricaneseason hurricaneirma,Medium,Low
my god this man gave his life the last full measure of devotion to help a fellow american in need the world has lost an incredible person may you rest in paradise eddison hermond,Low,High
here are things to put in your hurrican kit fl ga sc dont forget your pet crates food xtra water,Medium,Low
texas front and friends spent labor day helping out a family whos house was damaged in the flood howd you spend yours,Medium,Low
carolina amp her children lost everything when their home was crushed by the winds amp flash floods of cycloneidai even the building they sheltered in collapsed on them donate here to provide them with amp shelter materials to rebuild their home gt,Low,Medium
this is for everyone not personally affected by harvey i survived a nz earthquake that killed 185 people please learn from disasters,Medium,High
thank you amp for opening nrgcenter for harvey evacuees houston we are with you houstonstrong,Low,High
rt we will be here as long as were needed hurricaneharvey,Low,High
will zimbabwe authorities investigate allegations of the abusepoliticization of cycloneidai emergency aid,High,Low
urban and street flooding likely in areas under a flood advisory improving conditions after 10 am for sl county,Low,Medium
love that you go above and beyond to help others that desperately need the help via,Low,High
in the wake of hurricaneharvey explains how to avoid charity scams and give where it will do the most good,Medium,Low
information on wildfire smoke and horses especially for the western provinces that are affected by the smoke,Medium,Low
praying for puerto rico all this focus on football and they need help,Low,High
1 miami news search businesses miami dolphins players help high school team stranded by irma return home mia,Low,High
yay more fires more drought what a forecast,Low,Medium
update victims of deadly attica wildfires have risen to 82 according to a fire department spokesperson on thursday greecefires,High,Low
greece govs aid package unlikely to stop questions whether authorities did enough to warn people and prevent the loss of life specifically whether municipalities and fire brigade activated evacuation plans and if they helped or hindered people trying to escape the fire,Medium,High
please help my friend harvey donatehouston keshiathomas legend lovewins supporteachother,High,Low
i need to check my earthquake kit amp add chocolate and booze,Low,High
3 dead million without power after hurricane irma soaks georgia,Low,High
southern haiti effectively cut off after the bridge linking it to the capital portauprince collapsed,Low,Medium
listen to local announcements of safety of water water may need to be boileddisinfected before consuming cooking or cleaning irma,Medium,Low
new york city news search eight dead at sweltering fla nursing home after hurricane irma new york city,Low,High
its about people its about humanity the damage is real harvey houstonflood harvey2017,Low,Medium
unfortunately theres the first confirmed fatality hope to be the last among tourists at the athensfires an irishman in honeymoon so sorry rip ὢ2 mati attica wildfires prayforgreece prayforathens πυρκαγια αττικη ματι,High,Low
distilled white vinegar kills mold and bacteria add borax for cleaning surfaces,Low,High
i liked a video mexico hit by another deadly earthquake,Medium,Low
rt the damage in haiti is horrible the countrys been through so much hoping thats the last of matthews wrath http,Medium,Low
good afternoon emi quiet night here but how much destruction this earthquake ὁ4ὡ4ὢ2 terremotoitalia italyearthquake,Low,Medium
anyone who thinks puerto rico isnt receiving massive aid from the us needs to listen to this the problem lies with corrupt pr officials,High,Low
meteorologist helped a texas evacuee to safety the weather channel continues to do a great job helping the victims of harvey,High,Low
irma flood water attracts alligators in coastal empire,Low,Medium
survival tip11 survival prepping evacuation bugout wildfire fortmac fortmacfire,Medium,High
puertorico aka america needs help puertoricorelief hurricanemaria can we shift the conversation from nflboycott to uscitizens in need,Low,High
from our strength is our networks so stay in touch with each other and keep sharing info eqnz earthquake newzeland,Low,Medium
the newest storm maria could be a hurricane soon and may hit areas devastated by irma,Medium,Low
keep good records damaged by harvey get a tax break while you can hurricaneharvey feeonly,Low,Medium
trace irmahurricane2017s impact get realtime info on the needs of those in affected areas at dial211,Low,Medium
please help one of our sister properties own at the houston press hurricaneharvey,High,Low
stay safe to all those in petone and lower hutt areas with tsunami sirens going off keep moving and stay safe eqnz,Low,Medium
rt is closed for monday and tuesday stay safe make good decisions hurricaneharvey,Medium,Low
rt ecuador struck by deadly earthquake news reports coming in of loss of life amp destruction,High,Medium
7th grade learning about earthquakes with google cardboards and touring earthquake damage from japan and nepal rockdalepride,Medium,Low
staff homes badly damaged hurricanematthew at least six feared dead in haiti as violent storm hits,Medium,High
it kills me because if they were a state which they voted to be this would be a bigger deal,Low,High
video scenes of destruction and devastation from eqnz,Low,Medium
beaumont needs water water systems down khou hurricaneharvey harveyrescue,High,Low
your dot secretary recently destroyed regulations that would create floodsafe infrastructure so youre with america only to destroy it,Low,Medium
aussies galvanised to help as search for greece wildfires survivors continues,Low,High
isnt it he was in manicaland to asses the impact of cycloneidai and relief needed now he is assesing the impact of gukurahundi and probably the remission needs,Low,High
as well as insurance penetration would think sheer uncertainty in damage ratios gt110mph is part of the uncertainty,Low,Medium
storm updateirma more much needed help is headed to florida special thank you goes out to the bay area search amp,High,Low
ellicott city flooding how you can help and how to get help,Low,High
restoring access to safe drinking water for beiras 500000 inhabitants was a top priority said chris cormency unicefs water sanitation and hygiene wash specialist gtgt cycloneidai,Medium,Low
rt greece wildfires it was a hailstorm of flames says survivor,Low,High
from dotd and lsp i10 westbound near the tx state line is closed due to flooding travel in se tx strongly discouraged harvey alert,Low,Medium
state fire marshal jonathan jones provides update during governors press conference hurricaneirma2017,Medium,Low
at 630am reports a huge emergency exercise takes place at grouse mtn this am focus is response to a major wildfire,Low,Medium
living in hurricane alley a logical person would believe the buildings would be designed for hurricanes,Low,Medium
hurricane irma is flattening buildings in the caribbean,Low,Medium
rt support for cycloneidai victims in malawi urgent need for menstruation pads,Low,High
more from the arkema chemical plant and flooding from harvey,Low,Medium
after pressure mounts joel osteen says his houston megachurch is open to harvey evacuees,Low,High
my town in puerto rico was completely destroyed by hurricane maria help me send food and water please donate at,Low,Medium
hurricane harvey floods houston in pictures read by telegraph,Low,Medium
seventy victims of greece wildfires near athens identified greece news,High,Low
im crying blood for my missing children even though cycloneidai hit mozambique over a week ago aid agencies are warning that the disaster is getting worse was in chimanimani in eastern zimbabwe one of the worst affected areas,High,Low
a second crane has collapsed in miami due to hurricaneirmas winds,Low,Medium
im hearing ppl saying that cleaning laundry very important in water disasters is a big concern how can we help harvey,High,Low
after destruction the terrible silence school bells always ring at 7 each morning but in areas of mozambique devastated by cyclone idai again this monday morning they did not many schools are ruined while others are being used to shelter storm refugees,Medium,Low
our non profit temple has been without power since monday and there is no urgency from no road issues here help harvey,Medium,Low
friends abroad who have ask me how to help in the aftermath of the earthquake in mexico here is a good option,High,Low
rt puerto rico mayor pleads for help after hurricane maria people are dying,Low,High
in this florida city irma took their jobs as well as their homes via and,Low,Medium
the beauty of puerto rico ἳa children cleaning up after hurricane maria puertorico puertoricorelief children puertoricostrong 57,Low,High
the vicepresident mentioned the national guardsman swept away in ellicott city flooding,Low,High
8 members of dynamo front office amp coaches had to evacuate homes due to hurricane harvey got out before flood waters came all are safe,High,Medium
everyones a socialist after a natural disaster the nation hurricaneharvey,Medium,Low
preharvey tx had over 17000 repeatedly flooded properties i wonder how many of those homes flooded again,Medium,Low
4 days after wildfires here in mati killed at least 83 people work is under way to replace damaged electricity lines greecewildfires mati reconstruction,Medium,High
urgent port arthur and beaumont texas harvey floods sos,High,Low
rt hurricane maria has left all of puerto rico without power here are several ways you can support relief efforts,Medium,Low
an idaho boutique is donating merchandise and money to help some texas shops damaged by hurricane harvey,Low,Medium
at a press encounter on cycloneidai this morning said the people of mozambique zimbabwe and malawi will need strong sustained support he called on the international community to quickly and fully fund the humanitarian response,High,Low
our hearts go out to everyone affected by the tragic wildfires in greece if you have been in greece for more than 6 months please consider donating blood at any public hospital blood donations urgently needed athens attica,Low,High
rt larger tsunami waves 25m now recorded kaikoura nz weatherwatch site suggesting underwater landslide caused tsunami,Low,Medium
nicely reported hurricane irma how people bond together in boca raton shelter,Low,High
trump trying to justify those deaths w the epicness of harvey problem is harvey is the new normal thanks to climatechange,Low,High
emergency continues our country city borough home amp office still in crisis pleasekeeponhelping mexicoearthquake sunday 924 730pm,High,Medium
photos harvey brings back memories of tropical storm isaac flooding,Low,Medium
water in south fire in west air coming to east and now earth in close enough to north the elements set is complete,Low,Medium
repost rescuers and people work at a collapsed building after an earthquake hit mexico city mexico,Medium,Low
rt devastating and heartbreaking please help if you can,Low,High
the atxgov converting the austin convention center into a mega shelter for 2500 plus gas prices after harvey,Low,High
rt many displaced animals italyearthquake kind friends getting food to animals nr epicentre pl,Low,High
heading that waywhen the flood waters recede,Low,Medium
update cuban officials want families to leave irmadamaged homes but cant offer them permanent housing,High,Low
the defence force hq in wellington is closed due to quake damage unsure when itll be safe again eqnz,Low,Medium
watch military working 247 to get emergency supplies to residents puertorico hurricanemaria reliefefforts,Low,Medium
yessssss lolol tsunami itself no help needed,Low,High
rt dozens missing and two confirmed dead in manicaland lets spare a prayer for our friends who are affected by cycloneidai,Low,High
even major charities are struggling just to get needed supplies to puerto rico washington must help in several crucial ways,High,Low
puerto ricans are running out of food drinking from streams news feedly,Low,High
foto di grazianonomad help us raising money to rebuild after this huge tragedy italyearthquake ὤfἷeὤfἷeὤfἷe,High,Low
prayforsrilanka 10 91 deaths 110 missing 300 houses damaged amp 20000 families affected due to landslides amp floodsl srilanka lka,Low,High
other schools around the state are also being used as emergency shelters irma,Low,Medium
tropical storm harvey damage in texas expected to be manyyear recovery death toll rises to 20 via fox news,High,Medium
pim latest news nearly 2 million mostly in florida without power in irmas wake,Medium,Low
rt please help our puertorican scientists,High,Low
rt exactly help the people in the wildfire area and stop fanning the flames of the cold war with,High,Low
